time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging,frequency
2024-12-04 15:06:47+00:00,32.42937512230128,-111.31324111483993,561.0,1.5,89.5,20.3,26,gps,0.4,0.8,0.8,-27.7,,,,93,,1733324807000,2024-12-04T08:06:47.000-07:00,16460.55676805166,1733282508217,Default Profile,False,1
2024-12-04 15:10:48+00:00,32.451240699738264,-111.28916510380805,560.0,1.5,90.1,25.0,25,gps,0.4,0.8,1.0,-27.7,,,,92,,1733325048000,2024-12-04T08:10:48.000-07:00,19779.616210252814,1733282508217,Default Profile,False,1
2024-12-04 15:14:49+00:00,32.46049838606268,-111.23967298306523,568.0,1.5,89.9,20.65,28,gps,0.4,0.8,0.8,-27.5,,,,91,,1733325289000,2024-12-04T08:14:49.000-07:00,24536.03604456437,1733282508217,Default Profile,False,1
2024-12-04 18:02:45+00:00,32.45855913965264,-111.21666975089508,573.536566013243,8.5,,0.0,30,gps,0.4,0.6,0.8,-27.5,,,,90,,1733325530000,2024-12-04T08:18:50.000-07:00,26752.063988601774,1733282508217,Default Profile,False,41
2024-12-04 18:06:46+00:00,32.460517580620944,-111.2343607004732,568.0,2.0,269.7,25.42,22,gps,0.4,0.6,0.8,-27.5,,,,64,,1733335606000,2024-12-04T11:06:46.000-07:00,28863.408572215187,1733282508217,Default Profile,True,1
2024-12-04 18:10:47+00:00,32.451224899850786,-111.29424788989128,556.0,1.5,269.9,27.82,24,gps,0.4,0.6,0.8,-27.5,,,,65,,1733335847000,2024-12-04T11:10:47.000-07:00,34576.65232387243,1733282508217,Default Profile,True,1
2024-12-04 18:14:48+00:00,32.42938664741814,-111.3237213436514,561.0,2.0,269.6,21.02,24,gps,0.4,0.6,0.8,-27.6,,,,67,,1733336088000,2024-12-04T11:14:48.000-07:00,38257.24185597805,1733282508217,Default Profile,True,1
2024-12-04 18:18:49+00:00,32.4293550895527,-111.3677723519504,579.0,2.0,270.2,15.23,23,gps,0.4,0.6,0.8,-27.6,,,,68,,1733336329000,2024-12-04T11:18:49.000-07:00,42391.625457580434,1733282508217,Default Profile,True,1
2024-12-04 18:22:50+00:00,32.43645674083382,-111.37473670765758,583.0,3.0,,0.0,23,gps,0.4,0.6,0.8,-27.6,,,,69,,1733336570000,2024-12-04T11:22:50.000-07:00,43416.70151655613,1733282508217,Default Profile,True,1
2024-12-04 18:26:51+00:00,32.43655149824917,-111.37615232728422,581.0,2.5,,0.0,24,gps,0.4,0.6,0.8,-27.7,,,,69,,1733336811000,2024-12-04T11:26:51.000-07:00,43549.970349934134,1733282508217,Default Profile,True,1
2024-12-04 18:30:52+00:00,32.443182338029146,-111.37173305265604,576.0,2.0,359.2,5.12,23,gps,0.4,0.6,0.8,-27.7,,,,70,,1733337052000,2024-12-04T11:30:52.000-07:00,44395.91795721379,1733282508217,Default Profile,True,1
2024-12-04 18:34:53+00:00,32.443610820919275,-111.3751353509724,579.0,2.0,,0.0,23,gps,0.4,0.6,0.8,-27.7,,,,71,,1733337293000,2024-12-04T11:34:53.000-07:00,44718.72453122591,1733282508217,Default Profile,False,1
2024-12-04 19:11:02+00:00,32.44166776072234,-111.37619378976524,580.3333333333334,2.5,,0.0,23,gps,0.4,0.6,0.8,-27.7,,,,70,,1733337534000,2024-12-04T11:38:54.000-07:00,44982.12247219239,1733282508217,Default Profile,False,9
2024-12-05 14:30:33+00:00,32.44165641541085,-111.37602988179893,577.3584229390679,33.0,136.0,0.0,30,gps,0.6,0.8,1.0,-27.7,,,,61,,1733340610000,2024-12-04T12:30:10.000-07:00,45082.16513737747,1733282508217,Default Profile,False,279
2024-12-05 14:34:34+00:00,32.44479702785611,-111.3717265985906,578.0,2.0,163.9,1.79,27,gps,0.4,0.6,0.8,-27.7,,,,78,,1733409274000,2024-12-05T07:34:34.000-07:00,47949.34689354035,1733282508217,Default Profile,True,1
2024-12-05 14:38:35+00:00,32.429308402352035,-111.35981968604028,575.0,1.5,89.4,15.29,27,gps,0.4,0.6,0.8,-27.7,,,,79,,1733409515000,2024-12-05T07:38:35.000-07:00,50002.34420299565,1733282508217,Default Profile,True,1
